"","response_uuid","Age","Word_Pair","diff"
"1","05a6c763-c9ae-47e0-acc5-a109c535a438","6","ball ~ stroller",-0.358
"2","05a6c763-c9ae-47e0-acc5-a109c535a438","6","diaper ~ block",-0.589
"3","05a6c763-c9ae-47e0-acc5-a109c535a438","6","cat ~ book",-0.081
"4","05a6c763-c9ae-47e0-acc5-a109c535a438","6","foot ~ milk",0
"5","05a6c763-c9ae-47e0-acc5-a109c535a438","6","hand ~ yogurt",-0.202
"6","129ae736-993a-4970-aea3-990df58c2629","12","ball ~ stroller",-0.713
"7","129ae736-993a-4970-aea3-990df58c2629","12","cat ~ book",0.432
"8","129ae736-993a-4970-aea3-990df58c2629","12","foot ~ milk",-0.369
"9","129ae736-993a-4970-aea3-990df58c2629","12","hand ~ yogurt",0.263
"10","23f96111-a5ec-40c5-9d5e-c493fd5fb636","6","cat ~ book",-0.162
"11","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","cat ~ book",0.304
"12","37dfe9fb-dbf0-4b7b-a6c6-4e1c750fa6a5","12","hand ~ yogurt",-0.578
"13","3b93806b-9f87-48bc-bd34-38b8e036ec90","12","cat ~ book",-0.071
"14","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","ball ~ stroller",0.111
"15","41fff0a2-aa5e-46ff-adc8-a2c557fcdb86","12","foot ~ milk",0.428
"16","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","ball ~ stroller",0.05
"17","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","diaper ~ block",-0.256
"18","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","foot ~ milk",-0.191
"19","42df5ffb-87c4-4422-8da8-f0a29c2d26a5","6","hand ~ yogurt",-0.026
"20","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","ball ~ stroller",-0.24
"21","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","cat ~ book",-0.048
"22","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","foot ~ milk",0.527
"23","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","hand ~ yogurt",0.182
"24","510ce501-f2b4-4c71-baef-5722ca1d840b","12","ball ~ stroller",-0.139
"25","510ce501-f2b4-4c71-baef-5722ca1d840b","12","cat ~ book",0.323
"26","510ce501-f2b4-4c71-baef-5722ca1d840b","12","foot ~ milk",-0.233
"27","510ce501-f2b4-4c71-baef-5722ca1d840b","12","hand ~ yogurt",0.486
"28","69296e59-1aec-4e58-8c60-3e7d2f717892","12","ball ~ stroller",0.196
"29","69296e59-1aec-4e58-8c60-3e7d2f717892","12","cat ~ book",0.182
"30","69296e59-1aec-4e58-8c60-3e7d2f717892","12","hand ~ yogurt",-0.025
"31","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","ball ~ stroller",-0.203
"32","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","diaper ~ block",-0.194
"33","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","cat ~ book",-0.032
"34","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","hand ~ yogurt",0.161
"35","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","cat ~ book",-0.05
"36","7429cbef-2376-4c33-a67e-73f1c7247558","6","diaper ~ block",0.189
"37","7429cbef-2376-4c33-a67e-73f1c7247558","6","cat ~ book",-0.172
"38","7429cbef-2376-4c33-a67e-73f1c7247558","6","foot ~ milk",0.066
"39","7429cbef-2376-4c33-a67e-73f1c7247558","6","hand ~ yogurt",-0.273
"40","8ee50ba6-7b98-42f8-8810-5931cab933c6","12","cat ~ book",0.356
"41","91376d6c-bf00-4480-ae05-8e1b8018bc79","6","diaper ~ block",-0.226
"42","91376d6c-bf00-4480-ae05-8e1b8018bc79","6","cat ~ book",-0.112
"43","91376d6c-bf00-4480-ae05-8e1b8018bc79","6","hand ~ yogurt",0.294
"44","946c2360-cad0-45b6-9157-c238ef148691","12","ball ~ stroller",0.235
"45","946c2360-cad0-45b6-9157-c238ef148691","12","diaper ~ block",0.195
"46","946c2360-cad0-45b6-9157-c238ef148691","12","cat ~ book",-0.252
"47","946c2360-cad0-45b6-9157-c238ef148691","12","foot ~ milk",0.352
"48","946c2360-cad0-45b6-9157-c238ef148691","12","hand ~ yogurt",0.528
"49","9ca6f0dc-cbf8-45d0-af57-6d0e3a05e342","6","ball ~ stroller",0.159
"50","a443ccf6-9920-40f8-a25d-3ed6846c26eb","6","ball ~ stroller",0.007
"51","a443ccf6-9920-40f8-a25d-3ed6846c26eb","6","diaper ~ block",-0.595
"52","a443ccf6-9920-40f8-a25d-3ed6846c26eb","6","cat ~ book",0.13
"53","a443ccf6-9920-40f8-a25d-3ed6846c26eb","6","foot ~ milk",0.262
"54","a5fae6ce-8417-4fd8-8e58-b0faaed2356e","6","ball ~ stroller",-0.175
"55","a5fae6ce-8417-4fd8-8e58-b0faaed2356e","6","diaper ~ block",0.166
"56","a5fae6ce-8417-4fd8-8e58-b0faaed2356e","6","cat ~ book",-0.422
"57","a5fae6ce-8417-4fd8-8e58-b0faaed2356e","6","hand ~ yogurt",0.047
"58","ad8986ae-2592-4f48-89b4-3e3ee922860f","12","ball ~ stroller",-0.177
"59","ad8986ae-2592-4f48-89b4-3e3ee922860f","12","diaper ~ block",0.071
"60","ad8986ae-2592-4f48-89b4-3e3ee922860f","12","cat ~ book",-0.225
"61","ad8986ae-2592-4f48-89b4-3e3ee922860f","12","foot ~ milk",0.11
"62","ad8986ae-2592-4f48-89b4-3e3ee922860f","12","hand ~ yogurt",-0.159
"63","b02e83c3-8e89-408c-8a20-dc774853a7c9","12","ball ~ stroller",0.653
"64","b02e83c3-8e89-408c-8a20-dc774853a7c9","12","hand ~ yogurt",0.039
"65","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6","ball ~ stroller",0.045
"66","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6","diaper ~ block",0.064
"67","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6","cat ~ book",-0.205
"68","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6","foot ~ milk",-0.043
"69","bc7c22c3-c29a-44f0-a262-0e3ad8508c8c","6","hand ~ yogurt",-0.162
"70","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6","ball ~ stroller",0.386
"71","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6","diaper ~ block",-0.071
"72","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6","cat ~ book",-0.022
"73","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6","foot ~ milk",0.057
"74","c053c0b9-6594-4a4e-9ddf-8c546bc2865a","6","hand ~ yogurt",0.142
"75","c26eeff1-cf6b-4e88-b21f-10386bc08b06","6","foot ~ milk",0.011
"76","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12","ball ~ stroller",0.2
"77","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12","diaper ~ block",-0.1
"78","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12","cat ~ book",0.058
"79","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12","foot ~ milk",-0.065
"80","c4cca634-6ed3-4194-a6ac-01ee45a90f8d","12","hand ~ yogurt",0.101
"81","c5ad0dd5-2f09-4be0-bd65-35351e595938","6","cat ~ book",-0.148
"82","c5ad0dd5-2f09-4be0-bd65-35351e595938","6","foot ~ milk",0.358
"83","c5ad0dd5-2f09-4be0-bd65-35351e595938","6","hand ~ yogurt",-0.154
"84","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","ball ~ stroller",-0.252
"85","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","diaper ~ block",-0.069
"86","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","foot ~ milk",-0.036
"87","ceac9e49-7f0e-41c6-9e89-81d8fa286499","6","hand ~ yogurt",-0.003
"88","d5c00f11-5f46-4919-835f-ff52db609317","12","ball ~ stroller",-0.386
"89","d5c00f11-5f46-4919-835f-ff52db609317","12","diaper ~ block",-0.268
"90","d5c00f11-5f46-4919-835f-ff52db609317","12","cat ~ book",-0.231
"91","db073f15-743f-44c0-a00f-f933f02ae741","12","foot ~ milk",-0.144
"92","db073f15-743f-44c0-a00f-f933f02ae741","12","hand ~ yogurt",0.51
"93","db21e9a1-478a-4b07-a79d-9c586c711f40","6","ball ~ stroller",-0.252
"94","db21e9a1-478a-4b07-a79d-9c586c711f40","6","diaper ~ block",0.5
"95","db21e9a1-478a-4b07-a79d-9c586c711f40","6","cat ~ book",-0.759
"96","db21e9a1-478a-4b07-a79d-9c586c711f40","6","hand ~ yogurt",0.27
"97","e1de4a92-a702-4f77-92cb-437799e28dae","6","diaper ~ block",0.163
"98","e1de4a92-a702-4f77-92cb-437799e28dae","6","cat ~ book",-0.055
"99","e1de4a92-a702-4f77-92cb-437799e28dae","6","foot ~ milk",-0.397
"100","e1de4a92-a702-4f77-92cb-437799e28dae","6","hand ~ yogurt",-0.317
"101","e840a295-de8b-4a29-9bbb-b6a0740d8112","6","ball ~ stroller",-0.663
"102","e840a295-de8b-4a29-9bbb-b6a0740d8112","6","diaper ~ block",0.74
"103","f22b3366-1a35-4b22-8bdf-d29879221af7","6","diaper ~ block",-0.191
"104","f22b3366-1a35-4b22-8bdf-d29879221af7","6","cat ~ book",-0.196
"105","f22b3366-1a35-4b22-8bdf-d29879221af7","6","hand ~ yogurt",-0.227
"106","f53c1242-7c7e-441e-b24e-f1745def2023","12","ball ~ stroller",-0.447
"107","f53c1242-7c7e-441e-b24e-f1745def2023","12","diaper ~ block",0.262
"108","f53c1242-7c7e-441e-b24e-f1745def2023","12","foot ~ milk",-0.183
"109","f53c1242-7c7e-441e-b24e-f1745def2023","12","hand ~ yogurt",0.662
"110","fb1824e0-7cc6-4939-a9d4-a808e433352a","6","ball ~ stroller",0.057
"111","fb1824e0-7cc6-4939-a9d4-a808e433352a","6","diaper ~ block",0.105
"112","fb1824e0-7cc6-4939-a9d4-a808e433352a","6","cat ~ book",-0.186
